gid	AmmoniaEX	CyanateEX	GlutathioneEX	GlycineEX	GuanineEX	GuanosineEX	L_AlanineEX	L_ArginineEX	L_AspartateEX	L_CystineEX	L_GlutamateEX	L_GlutamineEX	L_LeucineEX	L_SerineEX	L_ValineEX	UreaEX
PMM0243	0.0009494224512393654	0.000850204087925307	0.0013233201414188326	0.0009799232227098683	0.0005075364316293206	0.0026541360153472322	0.0011228833258285728	0.0009140271646526152	0.002137293306318989	0.0011228833258286046	0.0009378405263022292	0.0011756366378505316	0.0010027834733474011	0.0011471868117194526	0.0007225512124336405	0.0009494224512393668
PMM0258	-0.06786805244064355	-0.06077557524497718	-0.05646882113719566	0.3712620933235793	-0.031287369454927376	-3.92027093198802	-0.0802676451801261	-0.06533787300046336	-0.1527812345335378	-0.08026764518007061	-0.5409930881560142	-0.08403863726274957	-0.07168248577535642	-19.894070257166256	-0.05165049921930086	-0.06786805244064058
PMM0263	-0.8551487252308126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0266	0.02686278192857747	0.024055516044424734	0.03744177350580903	0.02772576507332818	0.011031396015802584	0.05768812570000685	0.031770651593123166	0.025861314285164406	0.06047217856503216	0.031770651593085654	0.0265350851025106	0.03326324397387283	0.028372568745305048	0.03245828989440174	0.02044372937096223	0.026862781928575472
PMM0275	-0.008946220754706432	-0.008011305659777368	-0.012469385044379435	-0.00923362351667796	-0.004782415828153955	-0.025009400899797012	-0.010580708410179277	-0.008612697940844367	-0.020139293852737997	-0.01058070841017501	-0.00883708655726166	-0.011077792478787792	-0.009449031155758247	-0.01080971537078452	-0.0068084577572122525	-0.008946220754706448
PMM0279	0.0062269134603670576	0.005576176624273262	0.008679171205841446	0.006426956827966984	0.0	0.0	0.007364579684097669	0.005994768764196353	0.014017722501186559	0.007364579684097936	0.006150951864774451	0.007710569299446631	0.00657688882316757	0.007523977329719187	0.00473894825705258	0.0062269134603675155
PMM0301	0.004484137081483204	0.004015527200265562	0.006250061718114708	0.004628192702019868	0.0023971025019492807	0.012535525898068346	0.0053033955042397045	0.004316964589526453	0.010094469702459724	0.0053033955042398545	0.004429435468920986	0.005552550221720765	0.004736162023202392	0.005418181248088859	0.003412620673457692	0.004484137081483212
PMM0311	0.0088457548148674	0.007921338803993733	0.012329354016524546	0.009129930047652527	0.004728709362144411	0.024728545661020607	0.010461887195753923	0.00851597745775978	0.01991312985117997	0.01046188719575422	0.9566437509947053	0.010953389016897182	0.00934291866181692	0.0106883224112438	0.006731998867342721	0.008845754814867417
PMM0356	0.0	0.0	0.9092445088865226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0370	0.0	0.7657823353832417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0371	0.0	0.7657823353832417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0372	0.0	0.7657823353832417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0373	0.0	0.7657823353832417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PMM0389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15798431746695002	0.0	0.0	0.0	0.0	0.0
PMM0396	0.0	0.0	0.0	-0.02702152406983819	-0.013995390236457435	-0.17949583490796134	0.0	0.0	0.0	0.0	-0.025861087652423686	-0.03241834969398152	0.0	-0.03163384163889355	0.0	0.0
PMM0405	0.8637810483400105	0.77351254693042	0.9852367209971992	0.8915305378550071	0.4617547756651846	2.582141421619821	1.021595112988525	0.794968485943473	1.9445015760185098	1.021595112988554	0.5402555838479429	0.8752835764429222	0.8683025048249225	1.0437063349147992	1.249896292047008	0.8637810483400116
PMM0407	0.007443580591533234	0.006665697276762093	0.010374981240639326	0.051520363901556974	0.003979143664698924	0.020808729881348787	0.008803533684908185	0.007166077496967728	0.016756623937597366	0.008803533684908429	0.007352776975543193	0.009217125683910482	0.00786193710710673	0.0603144007950021	0.005664884134811634	0.007443580591533245
PMM0408	0.07015052512268447	0.0628195205954493	0.09777691975239763	0.07240415324419108	0.03750063752043496	0.028689427978767713	0.08296712896935836	0.06753525313529132	0.1579194252081944	0.08296712896936072	0.16950346888666357	0.025770707525389205	0.07409324178909088	0.07576877887757408	0.05338755884073053	0.07015052512268456
PMM0409	0.07015052512268447	0.0628195205954493	0.09777691975239763	0.07240415324419108	0.03750063752043496	0.028689427978767713	0.08296712896935836	0.06753525313529132	0.1579194252081944	0.08296712896936072	0.16950346888666357	0.025770707525389205	0.07409324178909088	0.07576877887757408	0.05338755884073053	0.07015052512268456
PMM0415	-0.0385181474930077	-0.034492850274517754	0.7861894910774384	0.0	-0.02059079507341908	-0.07980390489231096	-0.04555546954387282	-0.03708215778418419	-0.06360746110938129	0.9174003505574388	-0.01944305568601035	-0.035348751492927794	-0.040683008580136945	0.0	-0.029313962541584943	-0.038518147493007755
PMM0430	0.012764486063232085	0.011430547294367124	0.017791344074795188	0.013174552911603792	0.006823560681188994	0.035683464335183185	0.015096576391746715	0.012288615030531209	0.028734785643561588	0.015096576391747156	0.012608773167194632	0.015805816957118468	0.013481896971441292	0.015423323991339654	0.009714321447782347	0.01276448606323211
PMM0454	0.055839106269585534	0.05000370104427634	0.07782943610498162	0.057632971389609294	0.029850126995038553	0.15609972443925654	0.06604099289777528	0.053757376301455995	0.125702260258359	0.06604099289777712	0.05515792969057492	0.06914361364602221	0.05897746873431838	0.06747037233746585	0.04249595518162849	0.05583910626958562
PMM0467	-2.577261357882357e-05	-2.307927455542201e-05	-3.5922279488273006e-05	-2.6600574404838512e-05	-1.3777365715843665e-05	-7.204803490784205e-05	-3.048130788660682e-05	-2.48117883502636e-05	-5.801804498772906e-05	-3.048130788660768e-05	-2.545821562508433e-05	-3.191332660911571e-05	-2.722112893799401e-05	-3.114103986331159e-05	-1.9614064492211754e-05	-2.5772613578823607e-05
PMM0473	0.02477658867144885	0.022187338150484494	0.0345340041008907	0.025572551593855023	0.013244916829004107	0.06926362047210251	0.029303307767543866	0.02385289610917253	0.05577584251539438	0.029303307767544695	1.2883488808777046	0.030679983778647744	0.026169123779643345	0.02993754332034194	0.018856046811569976	0.024776588671448895
PMM0506	0.020610190627144857	0.01845634501401062	0.028726812115918484	0.02127230548809403	0.011017669312995686	0.05761634260421057	0.02437570268872935	0.019841824971930145	0.046396651366096456	0.024375702688691575	0.020358768638502382	0.02552087870130784	0.021768558892275407	0.02490328603841347	0.01568523917536545	0.02061019062714237
PMM0508	0.02477658867144885	0.022187338150484494	0.0345340041008907	0.025572551593855023	0.013244916829004107	0.06926362047210251	0.029303307767543866	0.02385289610917253	0.05577584251539438	0.029303307767544695	1.2883488808777046	0.030679983778647744	0.026169123779643345	0.02993754332034194	0.018856046811569976	0.024776588671448895
PMM0514	-0.008946220754706434	-0.008011305659777368	-0.012469385044379434	-0.009233623516677962	-0.004782415828153955	-0.025009400899797012	-0.010580708410179277	-0.008612697940844367	-0.020139293852737286	-0.01058070841018096	-0.008837086557261661	-0.011077792478787794	-0.009449031155758245	-0.010809715370784522	-0.0068084577572122525	-0.008946220754706448
PMM0522	0.007934797313493265	0.007105579928075547	0.011059646935160133	0.00818970748462698	0.004241735287526881	0.02218193944827346	0.009384496422556819	0.007638981236516945	0.01786242695545075	0.00938449642256804	0.007838001385867684	0.009825382182065967	0.008380762009520188	0.00958761278482922	0.006038721131773922	0.007934797313493279
PMM0534	0.5806797035143116	0.5199964010316561	0.8093606237881896	0.5993343908048105	0.31041619487353234	1.6233057396806005	0.6867707371698868	0.5590314641092206	1.307197698786602	0.6867707371699062	0.5735960404622721	0.7190353813694434	0.613316031480294	0.7016350801850093	0.4419221635871048	0.5806797035143125
PMM0569	-0.008946220754706434	-0.008011305659777368	-0.012469385044379434	-0.009233623516677962	-0.004782415828153955	-0.025009400899797012	-0.010580708410179277	-0.008612697940844367	-0.020139293852737286	-0.01058070841018096	-0.008837086557261661	-0.011077792478787794	-0.009449031155758245	-0.010809715370784522	-0.0068084577572122525	-0.008946220754706448
